	title	category
15150	Miley Cyrus Is In The Studo To Record Beatles Cover With The Flaming Lips	e
415658	VMAs Winners List 2014 Includes 5 Seconds Of Summer	e
190436	Mekhi Phifer Files For Bankruptcy, Reportedly $1.3 Million In Debt	e
335552	Facebook apologises for deceiving thousands of users during controversial  ...	t
120279	Credit Suisse says not found anything materially untoward in its forex trading	b
223626	GoPro Files IPO Prospectus of Extreme-Sports Camera Maker (1)	b
152117	Boeing's quarterly revenue rises 8 pct	b
405457	Puerto Rico's PREPA gets extension from creditors	b
321486	Three hours of TV a day 'doubles early death risk' as scientists say sedentary  ...	m
195802	UPDATE 1-US Fed's Tarullo calls for re-think of some new bank rules	b
125705	OpenSSL Vulnerability Hits the Web Unexpectedly	t
230236	AT&T CEO says DirecTV to negotiate NFL deal independently	b
63830	US STOCKS-Futures edge higher after selloff, but concerns remain	b
157470	Meg Ryan To Provide Voice-Over For 'How I Met Your Dad' Narrator	e
126909	Fargo TV series debuts with Billy Bob Thornton and Martin Freeman	e
178119	The London look! 24 star Kiefer Sutherland may be back in Manhattan but he  ...	e
212243	Goldman Sachs shareholders approve pay plan for top executives	b
320617	Diane Sawyer Steps Down From 'World News,' And ABC Tears Up The Network  ...	e
62512	Nick Cannon reveals he and Mariah Carey didn't have sex until honeymoon	e
236360	The Batman Suit Pic? Forget It, Kevin Smith Says It's Blue and Grey.	e
393297	Air France Shuns Iraq Skies as Carriers Confused on Missile Risk	b
149448	AT&T Beats Profit Estimates as Phone Discounts Diminish (2)	b
63593	Ebola Virus Death Toll in Guinea Outbreak Rises to 70 People	m
277732	Playing Soccer In Space Looks More Fun Than It Is On Earth	t
69828	Elton John - Elton John celebrates his birthday	e
80784	GLOBAL ECONOMY-Europe, China factory sectors weaken in March; US stable	b
59265	Jennifer Lopez Drops F-Bomb Whilst Judging 'American Idol' - Live!	e
351132	Katy Perry 'sued for ripping off 2008 Christian rap song' for her 2013 mega-hit  ...	e
207549	PRESS DIGEST- British Business - May 13	b
19949	Justin Bieber and Miley Cyrus Should Get a Do-Over	e
295638	"Tracy Morgan's Current Condition Has Improved To ""Fair"""	e
346703	Ryan Gosling Reportedly Wanted Rachel McAdams Kicked Off The 'Notebook' Set	e
263153	Wells Fargo Can't Shake LA Lawsuit Over Predatory Loans	b
211324	S.Korean stocks rise for 3rd day on Samsung Elec rally, won flat	m
41712	RPT-UPDATE 2-Carlyle hires JPMorgan's Cavanagh as co-president	b
219188	European Stocks Drop as AstraZeneca Slumps After Rejecting Bid	b
300344	UPDATE 3-US radio deejay, 'Shaggy' voice Casey Kasem dead at 82	e
342018	Cameron Diaz Opens Up To Esquire About Getting Naked For 'Sex Tape'	e
7161	Anne Sweeney To Leave Disney TV After 18 Years	e
374105	Emirates Signs $56 Billion Deal for Boeing 777X Airplanes	b
289298	Pippa Middleton to cycle 3000 MILES across the U.S. on epic charity bike ride  ...	e
